"","region","lon","lat"
"1","Afghanistan",67.709953,33.93911
"2","Albania",20.168331,41.153332
"3","Algeria",1.659626,28.033886
"4","Andorra",1.521801,42.506285
"5","Angola",17.873887,-11.202692
"6","Antigua and Barbuda",-61.796428,17.060816
"7","Argentina",-63.616672,-38.416097
"8","Armenia",45.038189,40.069099
"9","Australia",133.775136,-25.274398
"10","Austria",14.550072,47.516231
"11","Azerbaijan",47.576927,40.143105
"12","Bahamas",-77.39628,25.03428
"13","Bahrain",50.5577,26.0667
"14","Bangladesh",90.356331,23.684994
"15","Barbados",-59.543198,13.193887
"16","Belarus",27.953389,53.709807
"17","Belgium",4.469936,50.503887
"18","Benin",2.315834,9.30769
"19","Bhutan",90.433601,27.514162
"20","Bolivia",-63.588653,-16.290154
"21","Bosnia and Herzegovina",17.679076,43.915886
"22","Brazil",-51.92528,-14.235004
"23","Brunei",114.727669,4.535277
"24","Bulgaria",25.48583,42.733883
"25","Burkina Faso",-1.561593,12.238333
"26","Cabo Verde",-23.0418,16.5388
"27","Cambodia",104.990963,12.565679
"28","Cameroon",12.354722,7.369722
"29","Canada",-106.346771,56.130366
"30","Central African Republic",20.939444,6.611111
"31","Chad",18.732207,15.454166
"32","Chile",-71.542969,-35.675147
"33","China",104.195397,35.86166
"34","Colombia",-74.297333,4.570868
"35","Congo (Brazzaville)",15.2428853,-4.2633597
"36","Congo (Kinshasa)",21.758664,-4.038333
"37","Costa Rica",-83.753428,9.748917
"38","Cote d'Ivoire",-5.54708,7.539989
"39","Croatia",15.2000001,45.1
"40","Diamond Princess",-73.9614914,40.8642959
"41","Cuba",-77.781167,21.521757
"42","Cyprus",33.429859,35.126413
"43","Czechia",15.472962,49.817492
"44","Denmark",9.501785,56.26392
"45","Djibouti",42.590275,11.825138
"46","Dominican Republic",-70.162651,18.735693
"47","Ecuador",-78.183406,-1.831239
"48","Egypt",30.802498,26.820553
"49","El Salvador",-88.89653,13.794185
"50","Equatorial Guinea",10.267895,1.650801
